Domain,I+,I-,I0,IPH+,IPH-,IPH0,V+,V-,V0,VPH+,VPH-,VPH0,VA,VB,VC,IA,IB,IC,Type
0.53025,0.804394242,0.804394242,0.804394242,-2.544731304,-2.544731304,-2.544731304,74.44528928,74.44528928,74.44528928,-1.59720594,-1.59720594,-1.59720594,1,1,1,0,0,0,0
0.5305,0.804394242,0.804394242,0.804394242,-2.544731304,-2.544731304,-2.544731304,74.44528928,74.44528928,74.44528928,-1.59720594,-1.59720594,-1.59720594,1,1,1,0,0,0,0
0.53075,0.804394242,0.804394242,0.804394242,-2.544731304,-2.544731304,-2.544731304,74.44528928,74.44528928,74.44528928,-1.59720594,-1.59720594,-1.59720594,1,1,1,0,0,0,0
0.531,0.804394242,0.804394242,0.804394242,-2.544731304,-2.544731304,-2.544731304,74.44528928,74.44528928,74.44528928,-1.59720594,-1.59720594,-1.59720594,1,1,1,0,0,0,0
0.53125,0.804394242,0.804394242,0.804394242,-2.544731304,-2.544731304,-2.544731304,74.44528928,74.44528928,74.44528928,-1.59720594,-1.59720594,-1.59720594,1,1,1,0,0,0,0
0.5315,0.804392676,0.804392676,0.804392676,-2.544733164,-2.544733164,-2.544733164,74.44547054,74.44547054,74.44547054,-1.597206396,-1.597206396,-1.597206396,1,1,1,0,0,0,0
0.53175,0.804392676,0.804392676,0.804392676,-2.544733164,-2.544733164,-2.544733164,74.44547054,74.44547054,74.44547054,-1.597206396,-1.597206396,-1.597206396,1,1,1,0,0,0,0
0.532,0.804392676,0.804392676,0.804392676,-2.544733164,-2.544733164,-2.544733164,74.44547054,74.44547054,74.44547054,-1.597206396,-1.597206396,-1.597206396,1,1,1,0,0,0,0
0.53225,0.804392676,0.804392676,0.804392676,-2.544733164,-2.544733164,-2.544733164,74.44547054,74.44547054,74.44547054,-1.597206396,-1.597206396,-1.597206396,1,1,1,0,0,0,0
0.5325,0.804389341,0.804389341,0.804389341,-2.544734771,-2.544734771,-2.544734771,74.44547237,74.44547237,74.44547237,-1.597206412,-1.597206412,-1.597206412,1,1,1,0,0,0,0
0.53275,0.804389341,0.804389341,0.804389341,-2.544734771,-2.544734771,-2.544734771,74.44547237,74.44547237,74.44547237,-1.597206412,-1.597206412,-1.597206412,1,1,1,0,0,0,0
0.533,0.804389341,0.804389341,0.804389341,-2.544734771,-2.544734771,-2.544734771,74.44547237,74.44547237,74.44547237,-1.597206412,-1.597206412,-1.597206412,1,1,1,0,0,0,0
0.53325,0.804389341,0.804389341,0.804389341,-2.544734771,-2.544734771,-2.544734771,74.44547237,74.44547237,74.44547237,-1.597206412,-1.597206412,-1.597206412,1,1,1,0,0,0,0
0.5335,0.804386781,0.804386781,0.804386781,-2.544734698,-2.544734698,-2.544734698,74.44550264,74.44550264,74.44550264,-1.597207006,-1.597207006,-1.597207006,1,1,1,0,0,0,0
0.53375,0.804386781,0.804386781,0.804386781,-2.544734698,-2.544734698,-2.544734698,74.44550264,74.44550264,74.44550264,-1.597207006,-1.597207006,-1.597207006,1,1,1,0,0,0,0
0.534,0.804386781,0.804386781,0.804386781,-2.544734698,-2.544734698,-2.544734698,74.44550264,74.44550264,74.44550264,-1.597207006,-1.597207006,-1.597207006,1,1,1,0,0,0,0
0.53425,0.804386781,0.804386781,0.804386781,-2.544734698,-2.544734698,-2.544734698,74.44550264,74.44550264,74.44550264,-1.597207006,-1.597207006,-1.597207006,1,1,1,0,0,0,0
0.5345,0.804385217,0.804385217,0.804385217,-2.54473384,-2.54473384,-2.54473384,74.44551092,74.44551092,74.44551092,-1.597207533,-1.597207533,-1.597207533,1,1,1,0,0,0,0
0.53475,0.804385217,0.804385217,0.804385217,-2.54473384,-2.54473384,-2.54473384,74.44551092,74.44551092,74.44551092,-1.597207533,-1.597207533,-1.597207533,1,1,1,0,0,0,0
0.535,0.804385217,0.804385217,0.804385217,-2.54473384,-2.54473384,-2.54473384,74.44551092,74.44551092,74.44551092,-1.597207533,-1.597207533,-1.597207533,1,1,1,0,0,0,0
0.53525,0.804385217,0.804385217,0.804385217,-2.54473384,-2.54473384,-2.54473384,74.44551092,74.44551092,74.44551092,-1.597207533,-1.597207533,-1.597207533,1,1,1,0,0,0,0
0.5355,0.804382809,0.804382809,0.804382809,-2.544730706,-2.544730706,-2.544730706,74.44551008,74.44551008,74.44551008,-1.597207594,-1.597207594,-1.597207594,1,1,1,0,0,0,0
0.53575,0.804382809,0.804382809,0.804382809,-2.544730706,-2.544730706,-2.544730706,74.44551008,74.44551008,74.44551008,-1.597207594,-1.597207594,-1.597207594,1,1,1,0,0,0,0
0.536,0.804382809,0.804382809,0.804382809,-2.544730706,-2.544730706,-2.544730706,74.44551008,74.44551008,74.44551008,-1.597207594,-1.597207594,-1.597207594,1,1,1,0,0,0,0
0.53625,0.804382809,0.804382809,0.804382809,-2.544730706,-2.544730706,-2.544730706,74.44551008,74.44551008,74.44551008,-1.597207594,-1.597207594,-1.597207594,1,1,1,0,0,0,0
0.5365,0.8043817,0.8043817,0.8043817,-2.544727151,-2.544727151,-2.544727151,74.44553305,74.44553305,74.44553305,-1.59720712,-1.59720712,-1.59720712,1,1,1,0,0,0,0
0.53675,0.8043817,0.8043817,0.8043817,-2.544727151,-2.544727151,-2.544727151,74.44553305,74.44553305,74.44553305,-1.59720712,-1.59720712,-1.59720712,1,1,1,0,0,0,0
0.537,0.8043817,0.8043817,0.8043817,-2.544727151,-2.544727151,-2.544727151,74.44553305,74.44553305,74.44553305,-1.59720712,-1.59720712,-1.59720712,1,1,1,0,0,0,0
0.53725,0.8043817,0.8043817,0.8043817,-2.544727151,-2.544727151,-2.544727151,74.44553305,74.44553305,74.44553305,-1.59720712,-1.59720712,-1.59720712,1,1,1,0,0,0,0
0.5375,0.8043817,0.8043817,0.8043817,-2.544727151,-2.544727151,-2.544727151,74.44553305,74.44553305,74.44553305,-1.59720712,-1.59720712,-1.59720712,1,1,1,0,0,0,0
0.53775,0.804381778,0.804381778,0.804381778,-2.544722921,-2.544722921,-2.544722921,74.44564845,74.44564845,74.44564845,-1.597206059,-1.597206059,-1.597206059,1,1,1,0,0,0,0
0.538,0.804381778,0.804381778,0.804381778,-2.544722921,-2.544722921,-2.544722921,74.44564845,74.44564845,74.44564845,-1.597206059,-1.597206059,-1.597206059,1,1,1,0,0,0,0
0.53825,0.804381778,0.804381778,0.804381778,-2.544722921,-2.544722921,-2.544722921,74.44564845,74.44564845,74.44564845,-1.597206059,-1.597206059,-1.597206059,1,1,1,0,0,0,0
0.5385,0.804381778,0.804381778,0.804381778,-2.544722921,-2.544722921,-2.544722921,74.44564845,74.44564845,74.44564845,-1.597206059,-1.597206059,-1.597206059,1,1,1,0,0,0,0
0.53875,0.804383102,0.804383102,0.804383102,-2.544719192,-2.544719192,-2.544719192,74.4456339,74.4456339,74.4456339,-1.5972061,-1.5972061,-1.5972061,1,1,1,0,0,0,0
0.539,0.804383102,0.804383102,0.804383102,-2.544719192,-2.544719192,-2.544719192,74.4456339,74.4456339,74.4456339,-1.5972061,-1.5972061,-1.5972061,1,1,1,0,0,0,0
0.53925,0.804383102,0.804383102,0.804383102,-2.544719192,-2.544719192,-2.544719192,74.4456339,74.4456339,74.4456339,-1.5972061,-1.5972061,-1.5972061,1,1,1,0,0,0,0
0.5395,0.804383102,0.804383102,0.804383102,-2.544719192,-2.544719192,-2.544719192,74.4456339,74.4456339,74.4456339,-1.5972061,-1.5972061,-1.5972061,1,1,1,0,0,0,0
0.53975,0.804385931,0.804385931,0.804385931,-2.544715833,-2.544715833,-2.544715833,74.44570655,74.44570655,74.44570655,-1.597206283,-1.597206283,-1.597206283,1,1,1,0,0,0,0
0.54,0.804385931,0.804385931,0.804385931,-2.544715833,-2.544715833,-2.544715833,74.44570655,74.44570655,74.44570655,-1.597206283,-1.597206283,-1.597206283,1,1,1,0,0,0,0
0.54025,0.804385931,0.804385931,0.804385931,-2.544715833,-2.544715833,-2.544715833,74.44570655,74.44570655,74.44570655,-1.597206283,-1.597206283,-1.597206283,1,1,1,0,0,0,0
0.5405,0.804385931,0.804385931,0.804385931,-2.544715833,-2.544715833,-2.544715833,74.44570655,74.44570655,74.44570655,-1.597206283,-1.597206283,-1.597206283,1,1,1,0,0,0,0
0.54075,0.80439057,0.80439057,0.80439057,-2.544713598,-2.544713598,-2.544713598,74.44582223,74.44582223,74.44582223,-1.597207296,-1.597207296,-1.597207296,1,1,1,0,0,0,0
0.541,0.80439057,0.80439057,0.80439057,-2.544713598,-2.544713598,-2.544713598,74.44582223,74.44582223,74.44582223,-1.597207296,-1.597207296,-1.597207296,1,1,1,0,0,0,0
0.54125,0.80439057,0.80439057,0.80439057,-2.544713598,-2.544713598,-2.544713598,74.44582223,74.44582223,74.44582223,-1.597207296,-1.597207296,-1.597207296,1,1,1,0,0,0,0
0.5415,0.80439057,0.80439057,0.80439057,-2.544713598,-2.544713598,-2.544713598,74.44582223,74.44582223,74.44582223,-1.597207296,-1.597207296,-1.597207296,1,1,1,0,0,0,0
0.54175,0.804393642,0.804393642,0.804393642,-2.544713685,-2.544713685,-2.544713685,74.4458152,74.4458152,74.4458152,-1.597207158,-1.597207158,-1.597207158,1,1,1,0,0,0,0
0.542,0.804393642,0.804393642,0.804393642,-2.544713685,-2.544713685,-2.544713685,74.4458152,74.4458152,74.4458152,-1.597207158,-1.597207158,-1.597207158,1,1,1,0,0,0,0
0.54225,0.804393642,0.804393642,0.804393642,-2.544713685,-2.544713685,-2.544713685,74.4458152,74.4458152,74.4458152,-1.597207158,-1.597207158,-1.597207158,1,1,1,0,0,0,0
0.5425,0.804393642,0.804393642,0.804393642,-2.544713685,-2.544713685,-2.544713685,74.4458152,74.4458152,74.4458152,-1.597207158,-1.597207158,-1.597207158,1,1,1,0,0,0,0
